2025-12-07 19:32:47,049 - INFO - Logging setup complete. Log file: /Users/adarshainamdar/Downloads/Major_Project-main/outputs/logs/training_pipeline.log
2025-12-07 19:32:47,050 - INFO - Found local data at '/Users/adarshainamdar/Downloads/Major_Project-main/data/raw'.
2025-12-07 19:32:47,050 - INFO - Starting image preprocessing (resizing to 224x224)...
2025-12-07 19:32:48,525 - INFO - Splitting data into train, validation, and test sets.
2025-12-07 19:32:48,903 - INFO - Using device: mps
2025-12-07 19:32:48,906 - INFO - === STARTING PSO OPTIMIZATION ===
2025-12-07 19:32:48,907 - INFO - --- PSO Trial: LR=0.008996, BS=54 ---

2025-12-07 19:33:20,132 - INFO - --- PSO Trial: LR=0.006233, BS=47 ---

2025-12-07 19:33:46,910 - INFO - --- PSO Trial: LR=0.009675, BS=64 ---

2025-12-07 19:34:10,719 - INFO - --- PSO Trial: LR=0.004635, BS=23 ---

2025-12-07 19:34:35,062 - INFO - --- PSO Trial: LR=0.001966, BS=19 ---

2025-12-07 19:35:00,781 - INFO - --- PSO Trial: LR=0.005290, BS=23 ---

2025-12-07 19:35:23,309 - INFO - --- PSO Trial: LR=0.002637, BS=41 ---

2025-12-07 19:35:46,609 - INFO - --- PSO Trial: LR=0.008531, BS=58 ---

2025-12-07 19:36:10,607 - INFO - --- PSO Trial: LR=0.001573, BS=52 ---

2025-12-07 19:36:35,752 - INFO - --- PSO Trial: LR=0.001548, BS=30 ---

2025-12-07 19:36:59,638 - INFO - --- PSO Trial: LR=0.009633, BS=49 ---

2025-12-07 19:37:27,254 - INFO - --- PSO Trial: LR=0.006842, BS=64 ---

2025-12-07 19:37:49,520 - INFO - --- PSO Trial: LR=0.010000, BS=38 ---

2025-12-07 19:38:11,853 - INFO - --- PSO Trial: LR=0.007850, BS=8 ---

2025-12-07 19:38:40,317 - INFO - --- PSO Trial: LR=0.000010, BS=8 ---

2025-12-07 19:39:07,520 - INFO - --- PSO Trial: LR=0.000010, BS=18 ---

2025-12-07 19:39:32,172 - INFO - --- PSO Trial: LR=0.002843, BS=31 ---

2025-12-07 19:39:57,396 - INFO - --- PSO Trial: LR=0.006837, BS=60 ---

2025-12-07 19:40:20,756 - INFO - --- PSO Trial: LR=0.003444, BS=33 ---

2025-12-07 19:40:46,593 - INFO - --- PSO Trial: LR=0.003808, BS=41 ---

2025-12-07 19:41:08,003 - INFO - --- PSO Trial: LR=0.009862, BS=46 ---

2025-12-07 19:41:31,381 - INFO - --- PSO Trial: LR=0.005139, BS=64 ---

2025-12-07 19:41:53,724 - INFO - --- PSO Trial: LR=0.009877, BS=29 ---

2025-12-07 19:42:16,880 - INFO - --- PSO Trial: LR=0.006403, BS=9 ---

2025-12-07 19:42:46,739 - INFO - --- PSO Trial: LR=0.000010, BS=22 ---

2025-12-07 19:43:09,812 - INFO - --- PSO Trial: LR=0.000010, BS=27 ---

2025-12-07 19:43:33,072 - INFO - --- PSO Trial: LR=0.002461, BS=29 ---

2025-12-07 19:43:55,121 - INFO - --- PSO Trial: LR=0.004736, BS=59 ---

